Num,Title,Date,Location,Url,Img
1,Brain Music Cognition Conference Jerusalem 2019, Today at 8:30 AM, ELSC Building • Jerusalem  -, https://www.eventbrite.com/e/brain-music-cognition-conference-jerusalem-2019-tickets-69283521879?aff=ebdssbdestsearch, https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F68745233%2F326703077371%2F1%2Foriginal.20190815-131141?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C13%2C708%2C354&s=cefd8ab3102996f90a7ef0f44f5bd3b6
2,How to write a GREAT research paper, Wed  Dec 18  10:00 AM, אוניברסיטת בר-אילן • רמת גן, https://www.eventbrite.com/e/how-to-write-a-great-research-paper-tickets-80216322179?aff=ebdssbdestsearch, https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F79453259%2F325606226789%2F1%2Foriginal.20191105-123333?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C940%2C470&s=6eaecc1f3013aa4c190ef017cc5107cb
3,8200Bio Launch Event, Sun  Dec 22  6:30 PM, Google for Startups Campus • Tel Aviv Yafo, https://www.eventbrite.com/e/8200bio-launch-event-tickets-84403979575?aff=ebdssbdestsearch, https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F83064003%2F214238683059%2F1%2Foriginal.20191129-083108?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C58%2C1334%2C667&s=c6242e82732c7c9e9e047ddfa1c924cf
4,Innovation in Elderly Caregiving - A Global Opportunity, Wed  Dec 18  5:00 PM, 2B Hub • Tel Aviv, https://www.eventbrite.com/e/innovation-in-elderly-caregiving-a-global-opportunity-tickets-83814566625?aff=ebdssbdestsearch, https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F82918581%2F215047536676%2F1%2Foriginal.20191128-100355?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=426%2C0%2C9012%2C4506&s=562bd8c8228de9595cb89a99583896c4
5,מה אפשר ללמוד מהיזם יהונתן אדירי שהפך את הסמאטרפון למעבדה ניידת, Mon  Dec 23  6:30 PM, Abraham Hostel Tel Aviv • Tel Aviv-Yafo  Tel Aviv District, https://www.eventbrite.com/e/85072645573?aff=ebdssbdestsearch, undefined
6,Natural Language Prediction and Chatbots, Wed  Dec 25  6:30 PM, Microsoft Reactor Tel Aviv • תל אביב יפו  israel, https://www.eventbrite.co.uk/e/natural-language-prediction-and-chatbots-tickets-82479102215?aff=ebdssbdestsearch, https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F84663289%2F204273739341%2F1%2Foriginal.20191216-071735?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C1%2C610%2C305&s=30857e76210e104c4d3b9b8479a39bc5
7,בין אינשטיין לסטארטאפ ניישן: על מהפיכת המחשוב הקוונטי בישראל, Wed  Dec 25  7:00 PM, פולי בר • Tel Aviv-Yafo  Tel Aviv District, https://www.eventbrite.com/e/85400746933?aff=ebdssbdestsearch, https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F83892483%2F162888520589%2F1%2Foriginal.20191208-113203?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C21%2C1898%2C949&s=3ff492e962de51e33b351452152be639
8,Ray TLV Meetup, Sun  Dec 22  6:00 PM, WeWork Midtown • Tel Aviv, https://www.eventbrite.com/e/ray-tlv-meetup-tickets-84175718841?aff=ebdssbdestsearch, https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F82948789%2F61737853851%2F1%2Foriginal.20191128-165904?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C18%2C600%2C300&s=6aa3338bd88d8f627f2de1593f854bc3
9,twik annual event day - Investors  Marketers  Partners and JS developers, Thu  Dec 26  8:00 AM, BE ALL Alon 1 Tower • Tel Aviv, https://www.eventbrite.com/e/twik-annual-event-day-investors-marketers-partners-and-js-developers-registration-81589740109?aff=ebdssbdestsearch, https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F82140805%2F330276134911%2F1%2Foriginal.20191121-095621?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=974b43af220503345f5eda85f9444c07
10,Lesbians Who Tech & Allies Tel Aviv End of Year Fest, Wed  Dec 18  6:30 PM, Facebook - Sarona • Tel Aviv-Yafo  Tel Aviv District, https://www.eventbrite.com/e/lesbians-who-tech-allies-tel-aviv-end-of-year-fest-tickets-83173816123?aff=ebdssbdestsearch, https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F82191317%2F54575136362%2F1%2Foriginal.20191121-174144?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=285eaa1713290196549a3e3e73c1802f
11,AWS re: Invent 2019 ReCap, Mon  Dec 30  9:30 AM, AWS Offices  Floor 28 • Tel Aviv-Yafo  Tel Aviv District, https://www.eventbrite.co.uk/e/aws-re-invent-2019-recap-tickets-81713070995?aff=ebdssbdestsearch, https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F83469071%2F337253450609%2F1%2Foriginal.20191204-124535?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=2a43bc74b1737aa037355f087912e8b5
12,Junior Excellerator Program - 500Tech, Tomorrow at 6:00 PM, 500Tech • Ramat gan, https://www.eventbrite.com/e/junior-excellerator-program-500tech-tickets-84927870547?aff=ebdssbdestsearch, https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F81268889%2F189528261502%2F1%2Foriginal.20191115-125356?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=63e5ff622391c88b0269778e8d6a28f4
13,Intro to Data Modeling, Wed  Dec 18  7:00 PM, Shoken St 18 • Tel Aviv-Yafo  Tel Aviv District, https://www.eventbrite.com/e/intro-to-data-modeling-tickets-84889698373?aff=ebdssbdestsearch, https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F83483647%2F286102564376%2F1%2Foriginal.20191204-150936?w=355&auto=format%2Ccompress&q=75&sharp=10&s=02a58243eecd78177cfe9759cfcac920
14,Web Development Trends in 2020, Tomorrow at 7:00 PM, Israel Tech Challenge • Tel Aviv-Yafo  Tel Aviv District, https://www.eventbrite.com/e/web-development-trends-in-2020-tickets-84735697753?aff=ebdssbdestsearch, https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F83339869%2F286102564376%2F1%2Foriginal.20191203-141635?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C60%2C1920%2C960&s=c9f4556883427bf0fd5ec7e74ebce860
15,חדשנות  ז"י ומה שביניהם, Wed  Dec 18  9:00 AM, בסיס תל השומר • תל השומר  ישראל, https://www.eventbrite.com/e/80031968773?aff=ebdssbdestsearch, https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F82524143%2F362349042617%2F1%2Foriginal.20191125-134112?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=0%2C0%2C2160%2C1080&s=adbf0d8314ca0acb89d58dff5d376b4a
16,Product Management for Beginners, Wed  Dec 18  7:00 PM, O-Ya • Tel Aviv-Yafo  Tel Aviv District, https://www.eventbrite.com/e/product-management-for-beginners-tickets-84501346803?aff=ebdssbdestsearch, https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F83118805%2F26399104165%2F1%2Foriginal.20191201-105934?w=512&auto=format%2Ccompress&q=75&sharp=10&rect=3%2C41%2C788%2C394&s=d9125e56c1d72d59a5cae73ff7130b21
17,הפורום חוגג שנה ומארח את גורו הנטוורקינג סשה זרצקי, Sun  Dec 29  6:00 PM, Junta Pub • חיפה  מחוז חיפה, https://www.eventbrite.com/e/83581601821?aff=ebdssbdestsearch, https://img.evbuc.com/https%3A%2F%2Fcdn.evbuc.com%2Fimages%2F82503941%2F309322991474%2F1%2Foriginal.20191125-084918?w=438&auto=format%2Ccompress&q=75&sharp=10&rect=1%2C8%2C438%2C219&s=4e68b4eb31cd3839f3db9cbcb07f5aea
18,From Idea To A Tangible Device- Hardware Nation Meetup, Sun  Dec 22  7:00 PM, Google for Startups Campus • Tel Aviv-Yafo  Tel Aviv District, https://www.eventbrite.com/e/from-idea-to-a-tangible-device-hardware-nation-meetup-tickets-86008442567?aff=ebdssbdestsearch, undefined
